round,grade,matchup,opposition,batting_team,batsman_name,runs,balls,fours,sixes,how_out
1,1st,CAS vs RIC,RIC,CAS,Daud Malik,15,16,1,0,c: S Mills b: A Anlezark
1,1st,CAS vs RIC,RIC,CAS,Finlay Gordon,,2,0,0,c: D Parikh b: J Sawrey
1,1st,CAS vs RIC,RIC,CAS,Jackson Isakka,37,28,3,1,lbw: S Mills
1,1st,CAS vs RIC,RIC,CAS,Ashley Chandrasinghe,51,34,4,1,c: D Parikh b: J Sawrey
1,1st,CAS vs RIC,RIC,CAS,Harry Hoekstra,8,4,0,1,c: J Sawrey b: D Parikh
1,1st,CAS vs RIC,RIC,CAS,Ruwantha Kellapotha,17,11,0,2,c: J Doherty b: J Sawrey
1,1st,CAS vs RIC,RIC,CAS,Aaron Abeyesekera,20,12,3,0,c: T Goodman b: D Parikh
1,1st,CAS vs RIC,RIC,CAS,Devin Pollock,5,4,0,0,c: D Scholz b: B Rose
1,1st,CAS vs RIC,RIC,CAS,Muhammad Irfan,4,6,0,0,b: S Mills
1,1st,CAS vs RIC,RIC,CAS,Nathan Lambden,,3,0,0,c: D Parikh b: S Mills
1,1st,CAS vs RIC,RIC,CAS,Akshay Ramkumar,1,1,0,0,not out
1,1st,CAS vs RIC,RIC,CAS,Chris Benedek,,,,,did not bat
1,1st,CAS vs RIC,CAS,RIC,Dan Scholz,26,24,2,2,not out
1,1st,CAS vs RIC,CAS,RIC,James Doherty,,1,0,0,b: A Ramkumar
1,1st,CAS vs RIC,CAS,RIC,Jonathan D’Rozario,6,5,1,0,b: A Ramkumar
1,1st,CAS vs RIC,CAS,RIC,Connor Hinds,19,12,3,0,not out
1,1st,CAS vs RIC,CAS,RIC,Austin Anlezark,,,,,did not bat
1,1st,CAS vs RIC,CAS,RIC,Joshua Ash,,,,,did not bat
1,1st,CAS vs RIC,CAS,RIC,Tim Goodman,,,,,did not bat
1,1st,CAS vs RIC,CAS,RIC,Jacob Hinds,,,,,did not bat
1,1st,CAS vs RIC,CAS,RIC,Sam Mills,,,,,did not bat
1,1st,CAS vs RIC,CAS,RIC,Dhruval Parikh,,,,,did not bat
1,1st,CAS vs RIC,CAS,RIC,Brendan Rose,,,,,did not bat
1,1st,CAS vs RIC,CAS,RIC,Joshua Sawrey,,,,,did not bat
1,1st,MEL vs PRA,PRA,MEL,Fergus McKenna,45,31,3,3,c: D Egan b: C Hemp
1,1st,MEL vs PRA,PRA,MEL,Peter Hatzoglou,4,3,1,0,c: C McClure b: M Wilcox
1,1st,MEL vs PRA,PRA,MEL,Dhruv Poojari Redhu,31,17,5,0,c: J McPhee b: W Scott
1,1st,MEL vs PRA,PRA,MEL,Noah Croes,12,9,1,1,c: J McPhee b: C Hemp
1,1st,MEL vs PRA,PRA,MEL,Finlay Bean,15,15,1,0,lbw: M Wilcox
1,1st,MEL vs PRA,PRA,MEL,Yuvraj Singh,1,2,0,0,c&b: C Hemp
1,1st,MEL vs PRA,PRA,MEL,Henry Melville,24,24,3,0,c: C Hemp b: W Scott
1,1st,MEL vs PRA,PRA,MEL,Janak Prakash,6,7,0,0,c: M Delaney b: C McClure
1,1st,MEL vs PRA,PRA,MEL,Douglas Warren,9,7,1,0,not out
1,1st,MEL vs PRA,PRA,MEL,Jack Lyndon,3,6,0,0,not out
1,1st,MEL vs PRA,PRA,MEL,Mark Stafford,,,,,did not bat
1,1st,MEL vs PRA,MEL,PRA,Damon Egan,64,37,6,2,not out
1,1st,MEL vs PRA,MEL,PRA,Charlie Giles,9,7,2,0,c: J Lyndon b: D Warren
1,1st,MEL vs PRA,MEL,PRA,Cameron Hemp,1,5,0,0,c: H Melville b: P Hatzoglou
1,1st,MEL vs PRA,MEL,PRA,Lachlan Bangs,,1,0,0,c: H Melville b: P Hatzoglou
1,1st,MEL vs PRA,MEL,PRA,Max Delaney,29,24,3,0,not out
1,1st,MEL vs PRA,MEL,PRA,Shenuka De Silva,,,,,did not bat
1,1st,MEL vs PRA,MEL,PRA,Damon Malcolm,,,,,did not bat
1,1st,MEL vs PRA,MEL,PRA,Cam McClure,,,,,did not bat
1,1st,MEL vs PRA,MEL,PRA,James McPhee,,,,,did not bat
1,1st,MEL vs PRA,MEL,PRA,Will Scott,,,,,did not bat
1,1st,MEL vs PRA,MEL,PRA,Matt Wilcox,,,,,did not bat
1,1st,FIT vs FOO,FOO,FIT,Miller Childs,13,18,2,0,c: D Kight b: B Roosenboom
1,1st,FIT vs FOO,FOO,FIT,Jack Rudd,,1,0,0,c: D Kight b: B Roosenboom
1,1st,FIT vs FOO,FOO,FIT,Zachary Elliott,40,41,4,1,c: M Jamieson b: A Nadeem
1,1st,FIT vs FOO,FOO,FIT,Mark Phelan,19,19,2,0,st: D Kight b: B Toseland
1,1st,FIT vs FOO,FOO,FIT,Samuel Elliott,5,7,0,0,c: D Brasher b: M Birthisel
1,1st,FIT vs FOO,FOO,FIT,tom kellar,9,12,0,0,c: D Brasher b: M Birthisel
1,1st,FIT vs FOO,FOO,FIT,Zachary Macciocca,11,12,1,0,b: B Roosenboom
1,1st,FIT vs FOO,FOO,FIT,Braden Taeuber,11,6,0,1,not out
1,1st,FIT vs FOO,FOO,FIT,Ejaaz Alavi,6,4,1,0,not out
1,1st,FIT vs FOO,FOO,FIT,Harkirat Bajwa,,,,,did not bat
1,1st,FIT vs FOO,FOO,FIT,Liam Myott,,,,,did not bat
1,1st,FIT vs FOO,FIT,FOO,Aiman Nadeem,5,9,1,0,c: M Phelan b: S Elliott
1,1st,FIT vs FOO,FIT,FOO,Mitchell Jamieson,47,39,5,1,not out
1,1st,FIT vs FOO,FIT,FOO,Dylan Brasher,27,30,1,0,not out
