round,grade,matchup,opposition,batting_team,total_runs,total_wickets
1,1st,CAS vs RIC,RIC,CAS,164,10
1,1st,CAS vs RIC,CAS,RIC,57,2
1,1st,MEL vs PRA,PRA,MEL,157,8
1,1st,MEL vs PRA,MEL,PRA,109,3
1,1st,FIT vs FOO,FOO,FIT,118,7
1,1st,FIT vs FOO,FIT,FOO,97,1
1,1st,FOO vs RIC,RIC,FOO,124,8
1,1st,FOO vs RIC,FOO,RIC,125,2
2,1st,1st NOR vs 1st PRA,1st PRA,1st NOR,265,10
2,1st,1st NOR vs 1st PRA,1st NOR,1st PRA,268,7
2,1st,1st ST vs 1st CAS,1st CAS,1st ST,354,8
2,1st,1st ST vs 1st CAS,1st ST,1st CAS,332,10
2,1st,1st FOO vs 1st MEL,1st MEL,1st FOO,311,9d
2,1st,1st FOO vs 1st MEL,1st FOO,1st MEL,315,3
2,1st,1st CAR vs 1st RIC,1st RIC,1st CAR,361,8
2,1st,1st CAR vs 1st RIC,1st CAR,1st RIC,125,10
3,1st,1st FOO vs 1st PRA,1st PRA,1st FOO,315,10
3,1st,1st FOO vs 1st PRA,1st FOO,1st PRA,305,10
3,1st,1st CAR vs 1st CAS,1st CAS,1st CAR,332,5d
3,1st,1st CAR vs 1st CAS,1st CAR,1st CAS,246,5
4,1st,1st CAS vs 1st MEL,1st MEL,1st CAS,348,9d
4,1st,1st CAS vs 1st MEL,1st CAS,1st MEL,267,8
4,1st,1st ST vs 1st FOO,1st FOO,1st ST,291,10
4,1st,1st ST vs 1st FOO,1st ST,1st FOO,236,10
6,1st,CAR vs FOO,FOO,CAR,144,5
6,1st,CAR vs FOO,CAR,FOO,160,7
6,1st,FIT vs CAS,CAS,FIT,253,3
6,1st,FIT vs CAS,FIT,CAS,196,9
6,1st,ESS vs RIN,RIN,ESS,171,8
6,1st,ESS vs RIN,ESS,RIN,147,10
6,1st,KIN vs GEE,GEE,KIN,174,5
6,1st,KIN vs GEE,KIN,GEE,175,2
6,1st,MEL vs RIC,RIC,MEL,168,10
6,1st,MEL vs RIC,MEL,RIC,170,6
7,1st,CAS vs ESS,ESS,CAS,135,5
7,1st,CAS vs ESS,CAS,ESS,127,7
7,1st,FRA vs ST,ST,FRA,99,9
7,1st,FRA vs ST,FRA,ST,100,5
5,1st,1st ST vs 1st MEL,1st MEL,1st ST,265,10
5,1st,1st ST vs 1st MEL,1st ST,1st MEL,164,9d
5,1st,1st ST vs 1st MEL,1st ST,2nd ST,176,4
5,1st,1st ST vs 1st MEL,1st ST,2nd MEL,,0
7,1st,FOO vs RIN,RIN,FOO,161,3
7,1st,FOO vs RIN,FOO,RIN,34,5
7,1st,GRE vs MEL,MEL,GRE,165,4
7,1st,GRE vs MEL,GRE,MEL,143,6
7,1st,CAR vs GEE,GEE,CAR,138,4
7,1st,CAR vs GEE,CAR,GEE,149,6
7,1st,MEL vs KIN,KIN,MEL,157,7
7,1st,MEL vs KIN,MEL,KIN,113,9
