round,grade,matchup,opposition,bowling_team,bowler_name,overs,maidens,runs,wickets,wides,no_balls
1,1st,CAS vs RIC,CAS,RIC,Austin Anlezark,3,,0,14,4.66,2
1,1st,CAS vs RIC,CAS,RIC,Joshua Sawrey,4,,0,27,6.75,0
1,1st,CAS vs RIC,CAS,RIC,Brendan Rose,4,,0,40,10.00,1
1,1st,CAS vs RIC,CAS,RIC,Sam Mills,4,,0,25,6.25,0
1,1st,CAS vs RIC,CAS,RIC,Jonathan D’Rozario,1,,0,13,13.00,0
1,1st,CAS vs RIC,CAS,RIC,Dhruval Parikh,4,,0,44,11.00,1
1,1st,CAS vs RIC,RIC,CAS,Akshay Ramkumar,2,,0,13,6.50,0
1,1st,CAS vs RIC,RIC,CAS,Finlay Gordon,2,,0,20,10.00,1
1,1st,CAS vs RIC,RIC,CAS,Ruwantha Kellapotha,2,,0,6,3.00,0
1,1st,CAS vs RIC,RIC,CAS,Harry Hoekstra,1,,0,13,13.00,0
1,1st,MEL vs PRA,MEL,PRA,Cam McClure,4,,0,28,7.00,3
1,1st,MEL vs PRA,MEL,PRA,Matt Wilcox,4,,0,41,10.25,0
1,1st,MEL vs PRA,MEL,PRA,Shenuka De Silva,4,,0,33,8.25,0
1,1st,MEL vs PRA,MEL,PRA,Lachlan Bangs,1,,0,12,12.00,1
1,1st,MEL vs PRA,MEL,PRA,Will Scott,3,,0,17,5.66,0
1,1st,MEL vs PRA,MEL,PRA,Cameron Hemp,4,,0,24,6.00,0
1,1st,MEL vs PRA,PRA,MEL,Douglas Warren,3.2,,0,23,6.90,5
1,1st,MEL vs PRA,PRA,MEL,Peter Hatzoglou,3,,0,22,7.33,0
1,1st,MEL vs PRA,PRA,MEL,Mark Stafford,1,,0,14,14.00,0
1,1st,MEL vs PRA,PRA,MEL,Jack Lyndon,2,,0,25,12.50,0
1,1st,MEL vs PRA,PRA,MEL,Yuvraj Singh,3,,0,24,8.00,0
1,1st,FIT vs FOO,FIT,FOO,Jay Vine,3,,0,16,5.33,0
1,1st,FIT vs FOO,FIT,FOO,Ben Roosenboom,4,,0,20,5.00,0
