round,grade,matchup,opposition,current_batting,over_num,bowler_for_row,runs,wickets
1,1st,CAS vs RIC,RIC,CAS,20,Sam Mills,3,2
1,1st,CAS vs RIC,RIC,CAS,19,Dhruval Parikh,7,1
1,1st,CAS vs RIC,RIC,CAS,18,Brendan Rose,7,1
1,1st,CAS vs RIC,RIC,CAS,17,Joshua Sawrey,7,1
1,1st,CAS vs RIC,RIC,CAS,16,D Parikh,16,0
1,1st,CAS vs RIC,RIC,CAS,15,Joshua Sawrey,7,1
1,1st,CAS vs RIC,RIC,CAS,14,Dhruval Parikh,9,1
1,1st,CAS vs RIC,RIC,CAS,13,Sam Mills,5,1
1,1st,CAS vs RIC,RIC,CAS,12,B Rose,12,0
1,1st,CAS vs RIC,RIC,CAS,11,Dhruval Parikh,12,0
1,1st,CAS vs RIC,RIC,CAS,10,Jonathan D’Rozario,13,0
1,1st,CAS vs RIC,RIC,CAS,9,Sam Mills,11,0
1,1st,CAS vs RIC,RIC,CAS,8,Brendan Rose,11,0
1,1st,CAS vs RIC,RIC,CAS,7,Sam Mills,7,0
1,1st,CAS vs RIC,RIC,CAS,6,Brendan Rose,10,0
1,1st,CAS vs RIC,RIC,CAS,5,A Anlezark,6,1
1,1st,CAS vs RIC,RIC,CAS,4,Joshua Sawrey,4,0
1,1st,CAS vs RIC,RIC,CAS,3,A Anlezark,5,0
1,1st,CAS vs RIC,RIC,CAS,2,Joshua Sawrey,9,1
1,1st,CAS vs RIC,RIC,CAS,1,Austin Anlezark,3,0
1,1st,CAS vs RIC,CAS,RIC,7,Ruwantha Kellapotha,5,0
1,1st,CAS vs RIC,CAS,RIC,6,Harry Hoekstra,13,0
1,1st,CAS vs RIC,CAS,RIC,5,Ruwantha Kellapotha,1,0
1,1st,CAS vs RIC,CAS,RIC,4,F Gordon,15,0
1,1st,CAS vs RIC,CAS,RIC,3,Akshay Ramkumar,12,1
1,1st,CAS vs RIC,CAS,RIC,2,Finlay Gordon,8,0
1,1st,CAS vs RIC,CAS,RIC,1,Akshay Ramkumar,3,1
1,1st,FIT vs FOO,FOO,FIT,20,Max Birthisel,14,0
1,1st,FIT vs FOO,FOO,FIT,19,Ben Roosenboom,3,1
1,1st,FIT vs FOO,FOO,FIT,18,Max Birthisel,5,1
1,1st,FIT vs FOO,FOO,FIT,17,Ben Roosenboom,8,0
1,1st,FIT vs FOO,FOO,FIT,16,Bailey Toseland,7,0
1,1st,FIT vs FOO,FOO,FIT,15,Aiman Nadeem,8,1
1,1st,FIT vs FOO,FOO,FIT,14,Max Birthisel,11,1
1,1st,FIT vs FOO,FOO,FIT,13,Dylan Brasher,8,0
1,1st,FIT vs FOO,FOO,FIT,12,Bailey Toseland,6,1
1,1st,FIT vs FOO,FOO,FIT,11,Dylan Brasher,6,0
1,1st,FIT vs FOO,FOO,FIT,10,Bailey Toseland,2,0
1,1st,FIT vs FOO,FOO,FIT,9,Jay Vine,9,0
1,1st,FIT vs FOO,FOO,FIT,8,Bailey Toseland,5,0
1,1st,FIT vs FOO,FOO,FIT,7,Dylan Brasher,4,0
1,1st,FIT vs FOO,FOO,FIT,6,A Nadeem,3,0
1,1st,FIT vs FOO,FOO,FIT,5,Ben Roosenboom,5,1
1,1st,FIT vs FOO,FOO,FIT,4,Max Birthisel,1,0
1,1st,FIT vs FOO,FOO,FIT,3,Jay Vine,3,0
1,1st,FIT vs FOO,FOO,FIT,2,Ben Roosenboom,6,1
1,1st,FIT vs FOO,FOO,FIT,1,Jay Vine,4,0
1,1st,FIT vs FOO,FIT,FOO,13,Ejaaz Alavi,8,0
1,1st,FIT vs FOO,FIT,FOO,12,Liam Myott,5,0
1,1st,FIT vs FOO,FIT,FOO,11,Braden Taeuber,10,0
1,1st,FIT vs FOO,FIT,FOO,10,Liam Myott,10,0
1,1st,FIT vs FOO,FIT,FOO,9,M Childs,10,0
1,1st,FIT vs FOO,FIT,FOO,8,Liam Myott,6,0
1,1st,FIT vs FOO,FIT,FOO,7,Miller Childs,9,0
1,1st,FIT vs FOO,FIT,FOO,6,Harkirat Bajwa,2,0
1,1st,FIT vs FOO,FIT,FOO,5,S Elliott,10,0
1,1st,FIT vs FOO,FIT,FOO,4,Harkirat Bajwa,9,0
1,1st,FIT vs FOO,FIT,FOO,3,S Elliott,12,1
1,1st,FIT vs FOO,FIT,FOO,2,Harkirat Bajwa,2,0
1,1st,FIT vs FOO,FIT,FOO,1,Samuel Elliott,4,0
1,1st,MEL vs PRA,PRA,MEL,20,M Wilcox,9,0
1,1st,MEL vs PRA,PRA,MEL,19,C McClure,5,1
